#{"t_start": 1764480613.2480724, "env_id": "merge-v0"}
r,l,t
6.132123,7,130.905626
4.26386,5,131.22184
4.233431,5,131.524723
6.280723,7,131.945939
4.318148,5,132.283044
7.206925,8,132.823981
6.033229,7,133.327711
15.189568,17,134.320451
5.242299,6,134.670224
7.975932,9,135.226394
12.689172,17,136.323495
13.203337,16,137.222553
14.624733,17,138.105822
12.689172,17,139.025849
12.439172,17,139.951787
15.189568,17,141.092201
15.189568,17,142.338676
7.206925,8,142.811699
5.219276,6,143.161409
7.206925,8,143.658561
4.444444,5,143.962288
7.077052,8,144.444582
4.422222,5,144.723946
12.530721,15,145.663898
7.975932,9,146.17645
6.708559,8,146.69104
11.66637,16,147.599382
4.194626,5,147.882057
6.75448,8,148.320338
13.384012,15,149.292141
7.975932,9,149.838642
12.689172,17,150.820754
15.16179,17,151.841529
5.071325,6,152.222173
4.280723,5,152.526055
12.689172,17,153.498641
7.975932,9,154.101969
7.975932,9,154.643207
12.744727,17,155.920962
7.925796,9,156.522613
10.865428,14,157.450141
7.975932,9,157.98105
6.045361,7,158.384928
7.777794,9,158.901042
7.975932,9,159.508823
7.975932,9,160.084368
15.189568,17,161.119992
15.189568,17,162.301497
12.689172,17,163.303407
12.744727,17,164.485942
4.217793,5,164.894901
7.206925,8,165.477763
11.614044,13,166.301928
10.354448,12,167.065754
8.536671,10,167.634986
11.916933,15,168.700583
7.206925,8,169.220568
7.975932,9,169.755974
7.206925,8,170.303448
14.41179,16,171.331423
11.916933,15,172.266818
11.916933,15,173.173646
13.718599,16,174.101322
7.021496,8,174.610639
11.392212,14,175.595578
12.689172,17,176.465684
12.689172,17,177.302344
7.975932,9,177.803773
7.752456,9,178.281169
12.744162,15,179.139727
12.689172,17,180.021876
14.41179,16,180.925935
15.189568,17,181.869334
12.744727,17,182.706967
7.975932,9,183.198486
13.856234,15,184.009674
11.916933,15,184.857005
7.975932,9,185.334887
10.336463,12,185.966635
12.689172,17,186.856862
11.91901,15,187.712336
10.308999,12,188.346536
11.91901,15,189.144
8.059265,9,189.639529
12.633051,15,190.448506
12.689172,17,191.36577
11.916933,15,192.235198
13.745123,15,193.042291
14.522901,16,193.936723
13.134012,14,194.683694
12.689172,17,195.535421
15.189568,17,196.485411
12.689172,17,197.354531
11.91901,15,198.192161
8.059265,9,198.700552
12.633051,15,199.494892
4.984285,6,199.82663
11.916933,15,200.638942
7.803414,10,201.236231
11.916933,15,202.132669
15.189568,17,203.107082
14.578457,16,203.996929
12.689172,17,204.90233
7.975932,9,205.438568
14.217346,16,206.420915
13.078457,14,207.183634
12.689172,17,208.054702
15.189568,17,209.082446
12.744727,17,209.940288
15.189568,17,210.944896
15.189568,17,211.865721
12.633051,15,212.680581
11.889155,15,213.537075
11.916933,15,214.414228
5.036894,6,214.734587
12.744162,15,215.551869
8.059265,9,216.272894
8.716481,10,216.921606
15.189568,17,217.837919
13.078457,14,218.615318
8.059265,9,219.122294
7.975932,9,219.615035
7.975932,9,220.127842
8.059265,9,220.628166
12.689172,17,221.474442
12.753444,15,222.245468
12.689172,17,223.106769
13.641308,16,223.953327
11.916933,15,224.839189
13.439568,15,225.641475
13.328457,15,226.502639
13.724641,16,227.394569
15.189568,17,228.410313
11.916933,15,229.287042
15.189568,17,230.236135
11.611377,15,231.222001
12.633051,15,232.081257
13.745123,15,232.900445
7.882237,9,233.434045
13.91179,15,234.261496
13.856234,15,235.064572
15.189568,17,236.05459
15.189568,17,236.925553
13.078457,14,237.68249
10.346956,12,238.302219
8.059265,9,238.795323
11.635875,16,239.678181
7.975932,9,240.1748
11.916933,15,241.014041
11.916933,15,241.892296
13.884012,15,242.720312
10.293606,12,243.3665
13.078457,14,244.11194
12.744162,15,244.938903
10.31753,12,245.623953
14.41179,16,246.622455
14.578457,16,247.540313
15.189568,17,248.503767
12.19143,16,249.333889
15.189568,17,250.286728
15.189568,17,251.304692
15.189568,17,252.257998
12.689172,17,253.11146
15.189568,17,254.087474
10.32667,12,254.912499
11.916933,15,255.924587
8.382226,10,256.44383
15.189568,17,257.404701
12.689172,17,258.262116
15.189568,17,259.261961
12.689172,17,260.16583
12.689172,17,261.054543
12.305258,16,261.927483
12.744162,15,262.745784
11.916933,15,263.573346
11.392212,14,264.349422
13.800679,15,265.175123
15.189568,17,266.100718
12.633051,15,266.901053
12.633051,15,267.719267
12.633051,15,268.526137
15.189568,17,269.517077
15.189568,17,270.448447
8.059265,9,270.931939
14.41179,16,271.859257
10.32667,12,272.511824
15.189568,17,273.453293
10.32667,12,274.094265
14.522901,16,275.002705
8.059265,9,275.485742
7.913754,9,275.983704
13.078457,14,276.726475
12.744162,15,277.574752
15.189568,17,278.542775
15.189568,17,279.504215
13.800679,15,280.302322
14.522901,16,281.196648
12.744162,15,282.048679
12.744162,15,282.867129
12.633051,15,283.772188
12.305258,16,284.625095
12.633051,15,285.474107
15.189568,17,286.495771
12.744726,17,287.378345
12.633051,15,288.202705
11.798892,14,288.953489
12.689172,17,289.875063
10.336463,12,290.534983
6.367354,8,291.039147
11.91901,15,292.027014
13.078457,14,292.774789
10.336463,12,293.420552
11.916933,15,294.272165
7.065794,9,294.797586
12.633051,15,295.625864
11.916933,15,296.592564
13.078457,14,297.360539
4.99709,6,297.680262
5.013645,6,298.025782
11.916933,15,298.879719
13.078457,14,299.695412
11.916933,15,300.577895
13.690821,16,301.458874
13.078457,14,302.213248
12.633051,15,303.053143
7.844841,9,303.529028
4.124867,5,303.798345
11.91901,15,304.670734
14.578457,16,305.567244
12.689172,17,306.474379
13.328457,15,307.280294
8.669797,10,307.808362
12.383051,15,308.610846
13.690821,16,309.433021
10.336463,12,310.050871
12.689172,17,310.98936
15.189568,17,312.039424
12.305258,16,312.903063
12.633051,15,313.735476
8.745123,10,314.292745
13.078457,14,315.134218
4.993402,6,315.478487
15.189568,17,316.490788
12.689172,17,317.338022
12.550283,17,318.174077
6.954683,9,318.680916
10.358198,12,319.359869
12.633051,15,320.137595
13.078457,14,320.872602
13.13239,14,321.643335
14.217346,16,322.58266
12.995123,14,323.321944
14.328457,16,324.204767
15.189568,17,325.20955
12.360814,16,326.148004
12.967346,14,326.812239
13.800679,15,327.708533
11.721925,16,328.602825
15.189568,17,329.477916
12.689172,17,330.466576
15.189568,17,331.378745
13.828457,15,332.269617
12.305258,16,333.090026
5.003173,6,333.339224
12.305258,16,334.176859
15.16179,17,335.140714
12.577496,15,335.9767
13.800679,15,336.741068
12.360814,16,337.582867
12.305258,16,338.452414
12.305258,16,339.333767
14.384003,16,340.171502
15.245122,17,341.254239
10.346956,12,341.910686
15.245123,17,342.903222
15.189568,17,343.80157
11.663653,16,344.677849
15.189568,17,345.613651
14.356234,16,346.594264
12.689172,17,347.472025
15.078457,17,348.383564
14.495123,17,349.354834
14.884012,17,350.361304
15.16179,17,351.35338
13.696863,16,352.19379
12.16637,16,353.034262
12.305258,16,353.906909
12.633616,17,354.800657
12.305258,16,355.630092
13.022901,14,356.394131
14.578457,16,357.304734
14.384012,16,358.217147
12.305258,16,359.042668
13.022901,14,359.781096
13.717346,15,360.631274
13.745123,15,361.45214
10.263622,12,362.102875
12.305258,16,362.970275
12.305258,16,363.838286
14.328457,16,364.752486
13.884012,16,365.631007
13.641308,16,366.514076
12.055258,16,367.362532
13.447388,16,368.217984
13.884012,16,369.110129
12.305258,16,369.913918
7.57667,9,370.410492
13.995123,16,371.28186
14.856234,17,372.178696
12.360537,16,373.022019
12.305258,16,373.884605
10.346956,12,374.556773
12.689172,17,375.478786
12.19143,16,376.31725
14.522901,16,377.224892
4.967841,6,377.541325
10.217704,12,378.196155
10.336463,12,378.832764
12.305258,16,379.668823
14.522901,16,380.54181
12.577496,15,381.364966
14.328457,16,382.194877
10.32667,12,382.792466
12.633616,17,383.684711
12.305258,16,384.517167
12.305258,16,385.40576
12.305258,16,386.295027
12.305258,16,387.162722
14.522901,16,388.065172
12.466385,15,388.943551
14.078457,16,389.813273
12.305258,16,390.746154
14.16179,16,391.833392
12.305258,16,392.684738
13.641308,16,393.571029
14.495123,16,394.455722
14.272901,16,395.397244
12.305258,16,396.347645
12.305258,16,397.259951
13.884012,16,398.160737
13.717337,15,399.004004
12.19143,16,399.818433
12.305258,16,400.700174
14.522901,16,401.610527
14.522901,16,402.509731
15.189568,17,403.507361
5.727041,7,403.873081
12.305258,16,404.768914
12.689172,17,405.712217
12.277481,16,406.576499
13.884012,16,407.441149
6.56753,8,407.873904
15.106234,17,408.907525
12.689172,17,409.810941
14.828457,17,410.845509
15.189568,17,411.830187
12.718331,16,412.715709
12.522505,17,413.632213
14.967346,17,414.651644
9.364241,11,415.258075
15.189568,17,416.195629
14.856234,17,417.122522
12.689172,17,418.04115
15.189568,17,419.052296
12.689172,17,419.916402
11.663653,16,420.836073
15.189568,17,421.777678
4.160729,5,422.060449
12.19143,16,422.87667
14.522901,16,423.756933
11.663653,16,424.628821
12.19143,16,425.462756
15.106234,17,426.435561
12.808685,15,427.279547
14.318963,16,428.159155
14.41179,16,429.061517
12.300283,17,429.987788
14.328457,16,430.898345
12.305258,16,431.782463
14.328457,16,432.715415
15.106234,17,433.687593
12.19143,16,434.494788
10.801037,13,435.17654
15.106234,17,436.067204
14.245123,16,436.977373
12.305258,16,437.838777
13.884012,16,438.71297
13.884012,16,439.605191
15.189568,17,440.549853
15.16179,17,441.475008
14.384012,17,442.380712
15.106234,17,443.387891
14.522901,16,444.305022
12.689172,17,445.227318
12.689172,17,446.109468
15.189568,17,447.05259
13.995123,16,447.965942
14.41179,16,448.840168
12.689172,17,449.684747
14.078457,16,450.583055
12.689172,17,451.451694
15.189568,17,452.389233
14.384012,16,453.290656
9.925798,12,453.943918
12.689172,17,454.810438
15.134012,17,455.753084
12.633616,17,456.640154
12.633616,17,457.55555
11.246986,16,458.485908
13.828457,16,459.384473
14.745123,17,460.296621
12.19143,16,461.127714
14.522901,16,462.033435
13.884012,16,462.918752
12.305258,16,463.78827
14.328457,16,464.691038
13.689568,16,465.602151
15.050679,17,466.586482
12.35132,16,467.446883
10.662926,14,468.233226
13.818619,15,469.068927
12.001328,14,469.818419
12.890219,15,470.610992
14.568898,16,471.470632
12.835229,17,472.357317
14.502283,16,473.255916
8.469324,10,473.830512
12.717334,14,474.559329
14.828457,17,475.451081
12.305258,16,476.216737
15.189568,17,477.144363
12.305258,16,477.995103
14.522901,16,478.865999
12.305258,16,479.751577
14.328457,16,480.639913
15.189568,17,481.557464
12.596345,17,482.405861
12.864241,15,483.272647
12.439172,17,484.131518
12.055258,16,484.99609
9.595308,12,485.675933
12.108097,16,486.522901
12.305258,16,487.386658
15.189568,17,488.324734
12.19143,16,489.136439
14.522901,16,490.028633
12.19143,16,490.859239
12.305258,16,491.716741
14.522901,16,492.604281
14.078457,16,493.496504
15.106234,17,494.466547
11.774764,16,495.388314
14.050679,16,496.268167
5.432523,7,496.647641
14.328457,16,497.495291
15.050679,17,498.467984
12.689172,17,499.333382
14.41179,16,500.239753
14.634012,17,501.159153
15.189568,17,502.112383
12.522505,17,503.05319
13.818963,16,503.917554
14.522901,16,504.829418
12.633616,17,505.725462
12.689172,17,506.638905
14.522901,16,507.612801
11.663653,16,508.498154
12.522505,17,509.458342
14.522901,16,510.374619
15.106234,17,511.359362
12.305258,16,512.246845
15.189568,17,513.213531
12.522505,17,514.115244
12.305258,16,515.048183
15.189568,17,515.972303
12.689172,17,516.837893
14.272901,16,517.659441
12.689172,17,518.418115
11.116104,16,519.327681
12.689172,17,520.132055
12.19143,16,520.950658
14.272901,16,521.840355
12.689172,17,522.722342
12.689172,17,523.559132
12.661386,17,524.461536
12.633616,17,525.321977
14.800679,17,526.268983
12.605839,17,527.154374
11.663653,16,528.048521
12.305258,16,528.899387
12.19143,16,529.722969
12.305258,16,530.549865
14.16179,16,531.404204
12.835229,17,532.270977
12.221925,16,533.069463
12.689172,17,533.890841
12.277481,16,534.750268
15.189568,17,535.715652
14.522901,16,536.567971
15.189568,17,537.457251
13.66179,15,538.223922
14.772901,17,539.116196
12.237492,16,539.907295
15.106234,17,540.868129
15.106234,17,541.72346
15.23563,17,542.630489
14.568952,16,543.477051
12.062989,15,544.284037
