#{"t_start": 1764748439.774726, "env_id": "custom-roundabout-v0"}
r,l,t
-0.81084,11,46.763109
0.688472,15,47.102123
2.305627,9,47.262341
-2.472605,4,47.346175
-0.419273,14,47.621431
-0.367213,10,47.861056
-0.090893,11,48.082019
1.446658,15,48.415369
-1.550173,8,48.603044
5.142085,15,48.89287
1.842549,15,49.235276
-0.728091,12,49.440861
-0.58667,11,49.658073
-2.179431,3,49.731899
-0.077301,15,49.986811
-0.291401,9,50.196011
0.270028,3,50.270805
0.270028,3,50.345717
0.929291,15,50.550198
-2.028289,3,50.604424
2.19106,15,50.999686
-2.282453,4,51.083092
-2.030964,13,51.301766
-2.056281,5,51.404706
-0.014926,10,51.59913
-1.802339,5,51.721169
-1.99804,5,51.826871
3.424278,15,52.032903
2.120138,15,52.326531
-2.575929,3,52.391262
-0.302222,13,52.692113
1.36232,15,53.028636
4.322934,15,53.311546
-0.484435,11,53.496765
0.315561,3,53.551427
0.933822,15,53.88585
-0.208007,10,54.082132
-0.55409,9,54.29131
-2.261664,4,54.373904
-0.458757,10,54.545142
5.327406,15,54.837486
4.79354,15,55.080238
4.139735,15,55.400617
-2.515081,3,55.454885
2.102539,15,55.792225
-2.179374,3,55.865332
-2.288329,2,55.9277
2.472744,12,56.16682
0.133288,15,56.41853
1.72346,15,56.709051
-2.179556,3,56.773019
-2.575929,3,56.846827
-2.192302,6,56.951375
-0.277428,9,57.130217
4.822255,15,57.372813
1.159879,15,57.622951
-2.313556,4,57.7059
2.093407,15,57.951089
-2.092155,10,58.091691
-1.268555,7,58.218528
0.538923,15,58.556665
-0.356372,8,58.694487
-2.009725,5,58.783968
1.819005,15,58.990693
-1.960334,5,59.064981
2.879371,15,59.268393
-0.130823,9,59.451628
0.488251,15,59.700651
-0.450276,11,59.954323
-1.790752,5,60.07432
-2.288338,2,60.125048
0.967089,15,60.504955
2.242561,15,60.84968
-0.545135,13,61.112201
0.229647,15,61.402511
1.427086,15,61.69565
-0.394605,9,61.875912
3.961789,15,62.081629
-1.906446,4,62.180427
-2.064705,9,62.391511
0.762312,15,62.725198
-2.129345,3,62.78892
-2.10643,5,62.910567
-0.227633,8,63.047825
-2.263555,4,63.159997
1.999574,15,63.486333
-0.536548,13,63.738254
-0.521183,12,63.934365
-0.091705,9,64.144104
-2.226281,4,64.265305
-0.812551,10,64.458458
-0.305173,11,64.67762
-0.470351,8,64.866074
-1.618603,6,65.007641
-0.352723,11,65.197079
-0.980748,7,65.337421
0.871763,8,65.544271
2.365712,9,65.69909
4.04496,15,66.031443
1.295337,15,66.321244
-1.671878,9,66.529229
-2.171212,4,66.638834
-0.328656,10,66.839491
-1.24267,7,67.006163
-2.028285,3,67.078822
-2.151284,5,67.183542
-2.282973,4,67.265606
-2.288331,2,67.309961
0.451503,15,67.561305
-1.910244,5,67.680293
-1.396893,6,67.803337
-2.143929,6,67.926226
0.882162,15,68.268178
-2.287912,2,68.30579
-0.866955,8,68.422112
-0.143181,14,68.653962
-0.553762,13,68.866847
4.1385,15,69.158945
-0.348263,10,69.334924
1.104346,15,69.632254
4.433389,15,69.877577
-2.287916,2,69.922291
-2.206995,5,70.043713
-2.62108,3,70.106351
2.007769,14,70.338766
2.314006,15,70.628571
4.493349,15,70.880265
-2.287916,2,70.924478
-0.44571,10,71.128034
3.748919,15,71.372955
1.081143,15,71.720316
-0.299823,14,71.997206
2.683672,15,72.278329
-1.731964,6,72.383851
3.758839,15,72.719494
-2.18012,3,72.803039
-2.384651,9,73.012822
-1.389698,7,73.155609
2.753871,15,73.356519
-0.564643,8,73.495718
1.041828,15,73.7045
-1.612808,5,73.822477
-2.576418,3,73.88576
-2.019382,4,73.995214
-2.313069,4,74.065998
-2.576418,3,74.119922
0.270028,3,74.18226
2.463537,15,74.46274
-0.607936,10,74.63134
4.538622,15,74.870386
-1.995799,9,75.081285
0.270028,3,75.13585
-0.426716,10,75.400627
-0.03891,10,75.629305
-0.11411,12,75.825842
-2.28833,2,75.869726
-1.964365,8,76.02937
-0.445831,12,76.226135
-1.367283,6,76.366507
1.134902,15,76.613103
-0.341983,9,76.736666
-2.287913,2,76.780043
-2.384383,9,76.961934
-0.372417,10,77.130999
-2.179291,3,77.195117
-2.576418,3,77.258176
4.184382,15,77.552607
-0.46482,9,77.757483
0.824141,15,77.964488
-0.285054,10,78.136145
1.522295,5,78.256793
-0.250609,13,78.473267
-0.188185,8,78.635506
-2.181846,4,78.721065
-2.02439,5,78.838828
-0.483347,8,79.00171
-2.34035,8,79.164986
0.256068,8,79.352759
-0.790469,15,79.600606
-0.389242,14,79.877333
-2.387472,7,80.001574
-0.121401,9,80.214365
2.245917,15,80.501937
-2.22956,3,80.556084
-2.209769,9,80.739006
1.61859,15,81.081838
-0.675332,13,81.303556
-2.733397,8,81.568802
-2.508403,7,81.712439
-0.269699,10,81.917751
0.208567,15,82.259774
-2.620947,3,82.32479
-0.757413,11,82.547248
-0.26224,10,82.752918
-0.356954,9,82.971025
-0.377141,12,83.246355
0.760383,15,83.535556
1.075066,15,83.871063
-0.29465,10,84.071364
-2.128764,8,84.259021
1.923286,15,84.549323
-0.703199,10,84.77523
-0.599463,8,84.890734
4.107037,15,85.212894
-2.133549,7,85.400431
4.54791,15,85.687763
-1.65055,5,85.790278
0.290897,15,86.082937
-0.749554,10,86.28343
1.385635,6,86.428954
-0.804114,9,86.558203
-0.254665,11,86.743844
1.482097,15,87.08112
-0.770052,12,87.354504
-0.537004,11,87.577581
1.154193,15,87.870744
-2.068607,4,87.96801
-0.06494,9,88.122374
-2.313157,4,88.221929
0.401437,15,88.514111
0.791085,15,88.808126
-2.232353,4,88.892863
-0.577997,15,89.254316
-0.126034,10,89.458669
2.172353,10,89.656293
-2.359468,4,89.725586
-1.326651,8,89.861544
-0.172035,10,90.128799
-0.303825,13,90.344336
5.104367,15,90.628187
0.315561,3,90.672847
1.431828,15,90.878288
2.488746,15,91.163844
-2.028296,3,91.227631
2.206743,15,91.519966
-2.053608,5,91.608508
0.270028,3,91.663026
1.040462,15,92.011051
0.627805,15,92.345213
-0.259138,9,92.523165
-2.027128,8,92.710344
-2.158622,6,92.797174
0.284402,7,92.940305
-1.841731,5,93.029567
-0.643703,15,93.324942
2.134627,15,93.619865
-0.036067,10,93.796678
-0.196499,8,93.936734
-2.232445,4,94.020743
-1.418069,12,94.254474
-2.060333,10,94.452052
2.094585,15,94.831245
0.214028,15,95.080603
-0.236389,10,95.253044
5.16024,15,95.537524
-0.596195,9,95.666966
-2.048497,6,95.809986
5.709872,15,96.053282
-1.939261,6,96.175832
-1.465206,8,96.314926
-1.271436,9,96.495329
