#{"t_start": 1764625737.748926, "env_id": "custom-roundabout-v0"}
r,l,t
3.0,20,62.516327
0.4,4,62.572676
0.5,20,62.892775
5.15,20,63.380235
1.4,9,63.554507
5.25,20,64.038747
0.5,8,64.219663
-0.35,8,64.404829
-0.05,3,64.476729
-0.7,3,64.521351
1.55,20,64.892725
-0.5,7,65.077068
-0.2,8,65.191262
0.5,6,65.330599
5.25,20,65.645072
2.4,9,65.820528
4.4,20,66.253437
3.5,20,66.628851
2.55,20,67.003343
3.25,20,67.319038
-0.1,9,67.522317
-0.25,5,67.623473
2.4,11,67.832694
0.95,20,68.262887
0.3,3,68.324629
1.0,20,68.69295
-0.3,2,68.749177
2.4,20,69.097429
2.25,15,69.380236
3.5,20,69.760294
-0.6,5,69.846281
1.4,20,70.171392
1.05,9,70.347269
1.3,8,70.481387
0.3,3,70.535024
0.8,10,70.763592
0.5,7,70.907547
-0.5,4,70.988236
2.65,20,71.415405
-0.3,5,71.533084
4.95,20,71.905639
-0.2,5,72.022422
-0.45,7,72.203092
1.1,20,72.527691
1.55,10,72.754405
-0.05,5,72.842341
1.6,10,73.013099
2.2,9,73.161434
3.8,20,73.528638
3.05,20,73.949164
1.05,20,74.377985
-0.7,3,74.430114
1.45,8,74.642271
0.35,6,74.784527
3.85,20,75.210285
-0.3,2,75.260551
-0.25,10,75.44911
1.8,8,75.559007
2.5,20,75.875747
4.6,20,76.248954
-0.3,10,76.448541
2.6,20,76.765543
4.7,20,77.191866
5.05,20,77.566249
1.6,10,77.731459
0.1,9,77.905458
0.05,10,78.097705
3.25,20,78.41266
0.4,20,78.729265
1.05,10,78.922167
5.0,20,79.291703
1.75,20,79.611042
0.2,8,79.767258
1.9,9,79.916217
2.15,20,80.234973
-0.6,3,80.296875
-0.15,3,80.358882
0.3,3,80.430153
1.85,20,80.861703
4.8,20,81.172572
2.8,20,81.484079
3.0,20,81.866848
-0.05,5,81.986516
0.75,20,82.417737
1.55,20,82.803417
0.7,6,82.946144
1.7,11,83.189068
5.15,20,83.562771
0.25,20,83.940814
1.4,11,84.154429
-0.35,7,84.296569
0.45,4,84.380006
0.4,10,84.584856
0.1,20,85.023343
0.7,20,85.406135
-0.2,8,85.587545
3.0,20,85.949182
1.6,12,86.205319
0.9,7,86.352754
0.3,20,86.795157
1.55,20,87.196365
-0.35,4,87.269694
1.65,9,87.401943
-0.1,5,87.541678
0.25,3,87.595503
-0.3,2,87.652893
-0.1,5,87.774723
3.15,20,88.218448
0.2,6,88.360631
0.95,20,88.687802
1.45,12,88.958701
3.8,20,89.326628
2.3,20,89.803467
1.55,20,90.080429
0.75,20,90.464778
-0.25,3,90.526518
-0.55,3,90.59728
1.65,13,90.807063
-0.8,6,90.909939
-0.05,6,91.034387
-0.5,4,91.131741
1.45,8,91.27279
0.7,20,91.715119
-0.15,5,91.819336
2.7,20,92.20572
-0.25,8,92.394596
1.4,20,92.838686
1.25,9,93.01585
1.25,20,93.452856
-0.1,3,93.515029
-0.1,7,93.701198
3.25,20,94.068768
-0.15,5,94.186462
2.1,20,94.501082
4.6,20,94.822949
1.25,7,95.0088
-0.75,3,95.070804
-0.3,2,95.113468
2.75,20,95.430981
4.6,20,95.746134
0.8,9,95.953067
0.0,3,96.016508
3.2,20,96.397609
5.0,20,96.775468
4.6,20,97.15099
1.15,7,97.291903
3.2,20,97.667471
5.1,20,98.08919
2.7,20,98.47864
1.1,6,98.600382
-0.05,4,98.694278
2.75,20,99.013499
1.35,9,99.187023
2.55,20,99.632725
-0.15,5,99.766575
-0.5,9,99.915141
2.7,20,100.343064
0.25,3,100.396093
1.5,20,100.779329
1.7,20,101.217375
-0.2,5,101.335278
1.35,10,101.562421
-0.85,6,101.661943
0.75,7,101.822013
4.6,20,102.194699
1.6,20,102.513991
1.4,8,102.674293
1.5,10,102.868913
2.7,20,103.19145
-0.65,3,103.244586
0.15,5,103.350348
4.95,20,103.678532
0.8,20,104.119574
2.3,15,104.44692
3.3,20,104.883252
-0.6,3,104.946514
0.3,3,104.991454
-0.1,5,105.080008
1.5,19,105.343303
2.95,20,105.660685
0.4,20,105.993985
1.35,20,106.326144
4.6,20,106.6535
2.6,20,106.981203
4.45,20,107.412756
-0.3,2,107.456753
-0.25,3,107.519112
2.2,20,107.944968
2.05,20,108.309051
4.85,20,108.682939
0.4,9,108.885911
-0.7,6,109.004403
-0.2,3,109.075295
4.4,20,109.505942
4.95,20,109.887097
0.2,6,110.006947
2.3,10,110.200727
0.45,4,110.296026
0.15,6,110.400017
2.55,20,110.835058
3.3,20,111.204916
0.95,6,111.364929
-0.55,3,111.418007
1.5,12,111.681669
1.4,8,111.867298
-0.3,6,112.008112
-0.55,4,112.078002
-0.3,5,112.195398
-0.3,5,112.267094
1.5,7,112.429471
1.3,9,112.581763
1.7,8,112.742429
0.75,20,113.049636
-0.3,4,113.118885
-0.3,6,113.23784
3.8,20,113.608183
1.6,10,113.773357
-0.25,5,113.844773
0.45,20,114.106828
-0.2,3,114.16897
2.85,20,114.534598
1.15,6,114.655388
0.35,5,114.789061
3.4,20,115.099154
1.3,20,115.521846
-0.2,3,115.582902
-0.15,5,115.701036
0.25,3,115.762368
3.0,20,116.129107
0.5,20,116.49991
5.05,20,116.86429
0.3,11,117.078874
2.65,10,117.243106
-0.3,2,117.292401
1.4,10,117.51872
-0.25,7,117.64043
0.1,20,118.023526
5.15,20,118.396979
1.65,20,118.71912
1.65,9,118.928041
2.0,20,119.421812
1.1,20,119.856295
-0.5,4,119.956214
2.8,20,120.452059
1.6,8,120.607966
-0.25,6,120.749621
2.55,20,121.017563
-0.5,7,121.155752
1.6,12,121.472284
2.5,20,121.856243
0.3,3,121.921384
2.1,20,122.308294
5.0,20,122.732249
-0.3,4,122.812687
0.65,8,122.949745
3.1,20,123.380709
-0.05,3,123.452591
-0.5,10,123.648328
-0.3,8,123.803674
2.65,20,124.229308
2.45,20,124.55162
-0.6,9,124.755298
3.65,20,125.080058
-0.5,7,125.220324
-0.4,4,125.315736
1.25,8,125.474361
2.5,11,125.751127
1.5,12,126.017504
0.05,5,126.120464
1.5,8,126.303159
0.25,3,126.365001
