#{"t_start": 1764549363.365636, "env_id": "custom-roundabout-v0"}
r,l,t
6.85536,8,53.376466
3.999063,5,53.458625
2.131428,3,53.519134
8.38544,9,53.696458
4.9409,6,53.799054
4.045165,5,53.915495
19.013439,20,54.222481
19.485771,20,54.590572
19.003454,20,54.924886
2.131576,3,54.985921
9.344961,10,55.210365
2.147077,3,55.271566
4.290954,5,55.385636
4.807529,6,55.503892
19.656427,20,55.817433
16.752777,18,56.153589
10.366473,11,56.431275
7.652492,9,56.603686
19.408341,20,56.979317
12.894586,14,57.208253
19.026802,20,57.583498
14.838577,16,57.925362
4.352371,5,58.009905
10.193476,11,58.222752
8.427277,9,58.396546
15.793789,17,58.71418
12.037823,13,58.993095
2.116788,4,59.092243
4.064284,5,59.192835
15.905643,17,59.509811
10.959679,13,59.717215
9.230548,10,59.879494
1.975009,3,59.931272
10.132586,11,60.111136
2.10101,4,60.217614
8.411362,9,60.394214
4.035663,5,60.494495
8.674938,10,60.658357
4.074878,5,60.744187
4.076879,5,60.860269
11.195858,12,61.157885
13.943295,15,61.355234
9.177532,10,61.543781
13.028866,14,61.802891
12.957902,14,62.066008
19.144372,20,62.434513
14.77372,20,62.797393
9.328986,10,62.963425
2.162806,3,63.049807
1.159895,2,63.099857
19.258791,20,63.465524
6.400922,8,63.595696
11.08202,12,63.856533
9.218309,10,64.050564
11.081282,12,64.315875
5.770842,7,64.451388
4.063112,5,64.550679
3.151571,4,64.630378
4.074859,5,64.731084
5.897014,7,64.847823
19.252376,20,65.219564
10.786446,12,65.481251
20.029244,20,65.798773
7.41143,8,65.932056
19.35758,20,66.358656
19.299838,20,66.723203
2.009079,3,66.774995
1.160031,2,66.823795
8.359354,9,67.029816
3.998181,5,67.149721
12.967705,14,67.468558
20.558194,20,67.783942
4.029541,5,67.917584
14.846028,16,68.315847
19.122429,20,68.632196
18.800598,20,68.94245
6.959891,8,69.145519
2.100699,4,69.250168
11.07263,12,69.549131
15.673386,20,69.85604
7.312423,9,70.079295
8.259333,10,70.242591
18.948119,20,70.607436
15.915519,17,70.922994
8.026608,9,71.168853
7.313256,9,71.317809
5.88064,7,71.478266
18.486258,20,71.743981
18.987773,20,72.00863
5.066039,7,72.107543
1.959384,3,72.16931
9.244001,10,72.331758
14.889262,20,72.743982
11.012613,12,72.970876
7.790062,9,73.20662
11.610228,13,73.416103
13.032028,14,73.712339
19.368404,20,74.02254
19.053202,20,74.453979
4.013202,5,74.53765
6.257882,7,74.731635
19.513268,20,75.046098
11.138503,12,75.27407
7.083342,8,75.453663
19.312212,20,75.869261
3.982306,5,75.939081
13.020812,14,76.126278
4.799336,6,76.262462
12.046064,13,76.469236
1.959384,3,76.530107
4.210092,5,77.387832
19.11954,20,77.762864
10.114015,11,77.943599
19.187513,20,78.256078
4.059014,5,78.340005
1.959384,3,78.407912
9.209125,10,78.638949
12.898014,14,78.952342
9.180688,10,79.174201
19.012825,20,79.534602
12.093612,13,79.781388
4.858263,6,79.865661
19.017864,20,80.189663
19.312305,20,80.66769
3.996115,5,80.768595
19.364078,20,81.088185
12.095359,13,81.374097
9.255281,10,81.541217
18.818211,20,81.854111
18.983303,20,82.118433
11.702644,13,82.445348
3.043231,4,82.503093
19.192777,20,82.876425
19.10631,20,83.187623
2.147202,3,83.257478
19.064885,20,83.681178
19.475711,20,84.106103
4.046812,5,84.193215
10.193727,11,84.374847
6.177686,7,84.492037
1.993426,3,84.552832
11.06531,12,84.811722
7.100743,8,84.922567
4.757839,6,85.061487
7.48477,8,85.19469
20.314645,20,85.454285
11.144774,12,85.690509
19.654394,20,86.120598
13.899226,15,86.442372
1.959384,3,86.513127
