#{"t_start": 1763710297.7667186, "env_id": "highway-v0"}
r,l,t
7.639185,9,930.768092
3.993524,5,932.758376
8.11292,9,936.701205
3.996722,5,938.795232
8.052519,9,941.748723
3.86941,5,943.163399
4.039209,5,944.967089
4.905875,6,947.019197
3.705875,5,948.420168
4.305856,5,949.875238
5.976731,7,951.83885
22.59226,24,958.75171
9.758768,11,961.930015
15.016133,17,966.63888
6.505852,8,968.941303
7.639185,9,971.474245
9.305852,11,974.512876
0.910548,2,975.100089
3.961336,5,976.498826
13.860167,15,980.699056
1.839988,3,981.535312
13.156282,14,985.564283
1.906655,3,986.604361
10.895723,12,990.310249
13.039185,14,994.643167
8.372519,10,997.725443
14.331577,16,1002.17413
4.794745,6,1003.872297
19.045945,20,1009.346941
11.971278,13,1012.990421
5.162387,6,1014.811492
9.171023,11,1019.33025
5.237946,6,1021.034352
4.039209,5,1022.473726
32.11292,33,1031.869173
10.239185,12,1035.701111
11.289615,13,1039.514743
4.067235,5,1040.947658
2.805774,4,1042.086024
3.705875,5,1043.513839
2.936086,4,1044.865083
10.239185,12,1048.122603
2.109504,3,1048.964882
14.005782,16,1053.5051
4.039209,5,1054.953733
3.816987,5,1056.555765
4.072447,5,1058.147776
7.068161,8,1060.413016
1.839988,3,1061.31207
2.039988,3,1062.173897
10.039185,11,1065.602913
17.260167,19,1070.77509
10.837945,12,1074.060127
5.039189,6,1075.826906
5.156282,6,1077.409848
11.039185,12,1080.792112
1.906655,3,1081.637037
10.105871,12,1084.774507
6.949056,8,1087.455513
11.983371,13,1091.465702
9.936074,11,1094.466808
6.156282,7,1096.330461
6.97572,9,1098.687235
9.710548,12,1101.867063
2.039988,3,1102.712837
4.395543,6,1104.339107
6.772519,8,1107.01076
10.669408,12,1111.110698
19.556283,24,1119.210703
6.549062,8,1121.815576
6.505852,8,1123.925968
15.069408,17,1128.327059
4.661412,6,1129.908988
3.739114,5,1131.211113
14.133901,16,1135.354029
4.039209,5,1136.628954
6.719185,8,1138.705373
9.550296,11,1141.59412
9.039185,10,1144.152573
16.772519,19,1148.969839
1.043882,2,1149.528643
1.973321,3,1150.378677
2.772656,4,1151.908673
12.02279,13,1155.775179
4.202743,5,1157.112211
15.372519,17,1161.64923
5.728075,7,1163.579054
1.839988,3,1164.387896
7.972519,9,1166.796996
2.846252,4,1167.838997
2.772656,4,1168.882494
3.060193,4,1169.897926
5.793501,7,1171.747976
8.372519,10,1174.336977
11.535142,13,1178.41374
6.757364,8,1180.676649
6.72684,8,1183.008914
7.184611,8,1185.052797
2.20281,3,1185.791797
10.372522,12,1188.938004
10.505852,12,1192.068959
1.15647,2,1192.612916
8.949056,10,1195.228755
14.860167,16,1200.108793
12.639185,14,1204.058824
5.202741,6,1205.656722
1.26221,2,1206.267803
5.572519,7,1208.186856
9.305852,11,1211.160653
7.505989,9,1213.757462
20.427638,22,1219.829664
4.639189,6,1221.489218
7.925417,9,1223.930017
3.039209,4,1225.008001
9.379586,11,1228.029435
2.039988,3,1228.832632
8.039185,9,1231.434855
12.156282,13,1234.94441
10.11292,11,1237.883556
14.926834,16,1242.538939
14.039185,15,1246.824296
3.816987,5,1248.321566
9.992268,11,1251.479604
11.585852,13,1255.062009
12.592252,14,1259.524775
9.660167,11,1262.511272
14.089615,16,1267.003986
3.739114,5,1268.336611
9.039185,10,1271.161922
3.074759,4,1272.282018
6.79209,8,1274.496095
13.072448,15,1280.261238
10.088374,11,1285.007543
16.725594,18,1293.092429
5.993501,7,1295.981534
11.993501,13,1301.235624
9.602391,11,1305.588826
4.905856,6,1308.21358
6.539115,8,1311.637941
8.252519,9,1315.153199
20.372519,23,1323.895674
16.307753,18,1330.770686
4.98587,6,1333.114315
4.237949,5,1335.494787
7.252519,8,1338.755022
5.039189,6,1341.01519
16.104611,18,1348.424945
4.704752,6,1350.796676
10.325058,12,1355.476615
8.925417,10,1359.319282
6.772523,8,1362.432719
10.305852,11,1366.534458
10.356282,12,1371.090353
3.252536,4,1372.621635
4.883634,6,1374.899967
4.045171,5,1377.120345
6.039186,7,1379.828041
5.572519,7,1382.286713
4.772523,6,1384.40913
4.039209,5,1386.21357
10.528074,12,1390.935074
2.861545,4,1392.375679
22.372519,25,1401.091721
2.046247,3,1402.140336
5.572519,7,1404.590748
18.192268,20,1411.764799
9.04393,10,1415.169353
18.984611,20,1422.100058
10.105852,12,1426.194168
5.905853,7,1428.579743
11.172519,13,1432.999533
1.023137,2,1433.698595
1.839988,3,1434.711868
7.439185,9,1437.959504
13.039185,14,1442.758968
9.039185,10,1446.281868
4.639189,6,1448.385854
14.445171,16,1453.989573
7.505855,9,1457.000781
9.911837,11,1460.818363
3.860197,5,1462.449799
14.460167,16,1468.111733
13.837945,15,1473.44077
10.110597,11,1477.321778
5.905853,7,1479.89211
6.847185,8,1482.956971
1.839988,3,1483.988338
6.705852,8,1486.736576
