#{"t_start": 1764738393.5106578, "env_id": "merge-v0"}
r,l,t
12.383051,15,34.620722
10.776846,13,34.765188
13.094841,15,34.945574
13.27812,15,35.130007
3.303676,4,35.171533
10.251043,12,35.304001
4.062372,5,35.364654
10.90854,14,35.526362
11.500258,15,35.703361
12.707215,15,35.872291
11.883918,16,36.060845
11.0817,15,36.23433
5.949619,7,36.318121
5.817457,7,36.404897
4.235642,5,36.457942
5.071325,6,36.538853
5.872021,7,36.65112
3.271012,4,36.717769
6.927429,8,36.815281
10.325634,14,36.97821
4.207644,5,37.044426
3.354346,4,37.095801
3.336278,4,37.143922
12.66179,14,37.334036
11.583722,15,37.509223
5.068975,6,37.576179
13.134012,15,37.770756
12.362441,15,37.961225
3.984806,5,38.023685
7.495482,9,38.146639
6.097945,7,38.230191
8.854237,12,38.366054
10.725545,14,38.537418
5.151369,6,38.615888
5.228987,6,38.68511
6.934824,8,38.788922
5.863008,7,38.878079
3.923431,5,38.935018
4.207864,5,38.999994
12.244153,15,39.175856
12.400673,15,39.361697
10.179054,12,39.507122
9.263627,11,39.626831
5.612564,7,39.710815
11.796457,15,39.904644
8.475353,10,40.01893
13.689568,15,40.225236
14.48563,16,40.445683
13.078455,15,40.625076
12.995123,15,40.835863
13.73373,15,41.0174
14.189568,16,41.240108
5.263844,6,41.308725
11.363996,13,41.473806
4.997054,6,41.534879
7.166698,8,41.636455
9.516951,12,41.805818
12.494727,17,42.013508
4.012016,5,42.074834
6.735774,8,42.16823
7.477539,9,42.295297
4.180416,5,42.353693
5.094542,6,42.426065
7.393291,9,42.536598
6.898246,8,42.636831
6.5513,8,42.748012
12.733673,14,42.905608
6.777649,8,43.006555
8.474118,10,43.144185
3.83014,5,43.205215
7.472242,10,43.336052
7.996323,10,43.467262
11.550642,16,43.658925
8.511987,10,43.786515
6.159591,7,43.878456
6.604784,8,43.985541
11.206881,13,44.155415
6.402781,8,44.247274
3.151481,4,44.293887
10.707852,13,44.467242
11.604226,13,44.656575
5.763657,7,44.735991
4.938389,6,44.80457
7.104228,9,44.916064
4.201726,5,44.993405
6.066681,7,45.084985
10.829163,13,45.244336
6.697868,8,45.345443
11.570825,16,45.524051
12.272505,17,45.733247
4.923431,6,45.804733
3.141834,4,45.855723
8.65395,10,45.989374
13.550632,16,46.204577
6.806968,9,46.318798
3.187679,4,46.364975
12.500065,14,46.560769
8.514507,10,46.676964
6.780838,8,46.7881
9.280908,11,46.93848
4.231716,5,47.00673
12.828455,14,47.1932
4.728035,6,47.267147
11.786322,14,47.445427
4.16709,5,47.508075
8.694777,10,47.636177
9.484386,11,47.789233
4.117928,5,47.854172
4.182405,5,47.914338
5.941943,7,48.001116
