#{"t_start": 1764970946.0686874, "env_id": "intersection-v1"}
r,l,t
0.0,13,141.56035
-4.0,5,141.866155
0.0,4,142.183598
0.0,11,143.159575
1.0,1,143.321499
1.0,11,145.004702
0.701582,4,145.437928
0.0,13,147.38366
-5.0,1,147.431746
1.892733,13,148.347894
1.0,6,148.668654
1.0,1,148.784358
0.0,4,149.030346
1.0,4,149.247601
1.0,6,149.621924
1.0,1,149.704096
0.0,12,151.128163
0.405027,13,152.012485
-4.0,5,152.457859
1.0,1,152.552361
1.0,2,152.751628
1.0,1,152.837965
0.0,13,153.828862
1.0,7,154.284635
1.630554,9,155.178447
0.0,13,156.71765
0.0,13,157.924686
0.0,1,158.089997
0.0,4,158.431666
1.0,6,158.736376
1.0,1,158.824576
3.0,5,159.200217
0.0,5,159.43328
0.0,4,159.779985
0.0,13,160.974088
0.0,1,161.086763
0.0,1,161.156967
0.0,5,161.617882
0.538721,8,162.176113
2.0,3,162.437708
-2.644057,6,163.30153
1.0,1,163.520937
0.0,9,164.702625
1.0,6,165.130722
0.0,1,165.261615
1.0,1,165.412535
0.0,13,166.85878
1.0,1,166.999174
1.841934,13,169.124778
0.0,1,169.317256
2.0,7,170.018535
-4.0,9,170.899036
1.0,5,171.277961
1.0,9,172.201832
-5.0,6,172.77393
1.0,1,172.88511
0.0,3,173.265881
0.0,4,173.776192
0.0,1,173.876651
0.0,10,175.275681
1.0,4,175.685583
0.0,6,176.834061
1.0,5,177.236523
1.0,3,177.510715
0.0,6,178.091589
0.0,13,179.769881
0.0,1,179.863536
0.0,7,180.456037
1.274662,9,181.407952
0.0,1,181.564657
5.0,13,183.016735
0.0,10,184.259626
0.776427,10,191.096803
0.0,1,191.206113
1.0,1,191.310013
0.0,5,191.881834
1.0,1,191.960915
1.0,1,192.116816
0.0,6,192.701474
0.0,1,192.794552
2.049309,13,194.755052
1.0,1,194.945772
2.0,6,195.509634
1.0,1,195.683921
1.0,1,195.812623
0.265198,7,196.651882
0.181402,12,198.066719
0.0,1,198.204721
1.0,13,200.112082
-4.0,13,202.065141
0.0,1,202.240664
2.0,11,203.425847
0.0,2,203.665226
0.0,1,203.749604
1.0,2,204.133567
-5.0,9,205.136107
1.0,4,205.664633
0.0,4,206.158504
0.0,6,207.222661
2.0,13,208.67391
1.0,1,208.812895
2.0,13,209.631885
2.0,5,210.257116
0.0,1,210.417711
0.0,13,212.458364
1.0,4,213.01557
0.0,1,213.127038
0.0,7,213.783339
0.0,6,214.700439
1.0,12,216.428602
1.0,1,216.57989
-3.03242,2,216.836894
0.0,1,216.942156
0.0,6,217.598906
0.0,13,219.47478
1.0,1,219.665561
1.0,1,219.850209
-4.530927,9,220.752521
1.0,1,220.959607
1.0,1,221.097528
0.0,8,221.676208
3.0,8,222.534295
1.0,13,224.080886
0.0,1,224.189579
1.0,3,224.47017
0.0,3,224.871695
0.0,6,225.375675
0.0,1,225.527571
2.0,3,225.809983
2.0,13,228.033615
2.0,5,228.718193
1.0,4,229.176502
0.0,4,229.716489
0.0,13,231.084391
-3.0,7,231.507098
0.0,1,231.634513
0.0,1,231.741856
-5.0,12,232.855574
0.354705,13,234.028242
0.140288,12,235.491732
1.0,2,235.666636
1.0,1,235.836738
-5.0,1,235.976661
1.0,11,237.270031
0.0,6,237.926484
0.0,1,238.061732
1.0,1,238.21751
0.0,13,239.665723
0.0,11,241.85074
-4.0,10,242.482675
1.0,4,242.948646
1.0,5,243.566592
0.0,11,245.414525
0.0,6,245.867662
0.0,1,245.965778
0.0,13,247.107665
1.0,5,247.481604
2.0,2,247.732841
0.0,1,247.892187
1.0,3,248.229502
0.0,8,249.117826
0.0,9,249.834453
0.0,13,251.350065
0.0,3,251.707059
0.0,8,252.65663
3.0,7,253.00799
0.0,13,254.271502
1.0,6,254.935067
4.298979,13,256.335058
-4.0,4,256.83257
0.183547,13,258.989271
0.647729,13,260.831767
0.0,13,262.096717
1.282467,2,262.234576
0.0,1,262.453953
1.0,7,263.215744
-5.0,1,263.339427
0.0,8,264.386899
0.0,3,264.784525
1.0,1,264.909837
-2.089072,8,265.619108
2.0,6,266.148254
0.05112,13,267.698729
0.0,1,267.911984
0.0,13,269.408152
0.0,8,270.10462
0.0,1,270.320946
0.0,1,270.431547
2.0,3,270.627152
-3.0,3,270.89757
0.0,13,272.264165
1.0,13,273.682673
0.0,3,273.890354
0.0,13,275.126865
0.997349,13,276.929984
1.0,1,276.957052
0.0,5,277.339622
0.0,1,277.490338
1.0,3,277.806687
1.0,11,278.756132
0.0,1,278.895068
-2.0,3,279.092703
0.0,5,279.423491
2.0,13,281.204723
0.0,13,282.724793
1.0,1,282.823093
1.0,3,283.083174
0.0,6,283.497609
0.0,5,284.050166
0.0,5,284.537552
0.554527,9,285.139172
-5.0,6,285.69533
1.0,1,285.827852
1.0,4,286.382776
0.0,13,288.073509
0.0,3,288.40984
1.0,13,290.003754
0.0,1,290.168678
1.0,7,290.856663
0.0,3,291.160332
-2.0,6,291.633851
0.0,6,292.397364
0.0,9,293.467111
1.0,6,293.797912
0.0,1,293.919685
0.0,13,294.820473
0.0,13,296.694848
0.0,1,296.852459
0.0,13,298.096621
2.0,11,299.338642
1.0,3,299.536491
0.0,5,300.161793
0.0,4,300.55565
2.0,8,301.330291
1.0,7,301.950863
0.0,1,302.095855
-5.0,1,302.22301
1.0,1,302.299766
2.0,9,302.749187
2.0,9,303.615785
0.0,1,303.706102
0.0,6,304.570639
0.0,13,306.631656
2.0,13,308.892618
1.0,1,308.974108
0.0,4,309.274676
1.0,3,309.659055
1.0,1,309.758834
0.0,13,311.567831
0.046248,4,311.869647
-4.0,6,312.431729
1.0,10,313.283898
1.0,3,313.586701
0.0,1,313.752927
0.0,13,315.768657
0.280822,9,316.827603
