#{"t_start": 1764380322.353233, "env_id": "merge-v0"}
r,l,t
3.324783,4,56.374056
4.864667,6,56.528194
7.801975,9,56.74684
11.944147,16,57.112288
7.072724,8,57.317672
13.689568,15,57.713965
3.248121,4,57.800053
3.179259,4,57.878779
3.388889,4,57.993889
7.072724,8,58.211722
7.044946,8,58.421838
6.981338,8,58.619783
7.072724,8,58.838611
6.832086,8,59.06899
7.738078,9,59.316461
7.072724,8,59.537151
7.100501,8,59.74712
6.044946,7,59.951598
10.52649,12,60.27345
7.100501,8,60.477015
6.156057,7,60.657794
6.095814,7,60.832851
4.173431,5,60.981794
11.285598,12,61.31478
6.904658,8,61.521145
11.285598,12,61.86789
6.06232,7,62.030563
5.12685,6,62.174868
10.637601,12,62.518398
3.422222,4,62.623756
7.100501,8,62.809223
3.34445,4,62.921281
10.693157,12,63.225082
7.211613,8,63.435382
10.94543,12,63.744553
7.211613,8,63.954031
7.211613,8,64.162201
5.899719,7,64.363474
8.230092,10,64.653145
7.063591,8,64.85235
7.100501,8,65.053028
3.29879,4,65.150232
7.09073,8,65.365034
3.333333,4,65.475504
3.318148,4,65.586816
7.09073,8,65.792228
7.09073,8,66.002556
7.948154,9,66.233092
7.211613,8,66.440462
6.077502,7,66.610978
6.940847,8,66.846673
8.984121,10,67.09394
7.23939,8,67.294299
5.176639,6,67.448756
6.124867,7,67.632427
10.854702,14,67.993001
6.965358,8,68.180586
7.60916,9,68.420785
10.584516,14,68.800418
4.131188,5,68.94211
6.965941,8,69.165519
6.155629,7,69.363048
7.072724,8,69.581038
7.464636,9,69.803992
7.022834,8,69.975321
7.858198,9,70.239783
6.838728,8,70.45018
4.125766,5,70.582747
8.230092,10,70.875973
3.401481,4,70.964316
5.267168,6,71.120228
4.401481,5,71.229415
7.23939,8,71.431159
6.879201,8,71.657267
5.182436,6,71.803814
4.422222,5,71.928816
7.211613,8,72.136703
3.422222,4,72.244757
4.401481,5,72.372578
7.183835,8,72.574434
7.667761,9,72.833284
6.231726,7,72.992483
10.800716,14,73.374408
8.95936,10,73.649429
8.634371,10,73.886001
11.982769,14,74.257434
10.589158,14,74.628712
12.195766,14,75.018411
11.852604,13,75.378841
7.128279,8,75.587798
5.21533,6,75.741306
10.637601,12,76.05111
4.382123,5,76.173541
5.194626,6,76.37483
6.322296,7,76.584578
11.483663,12,76.881524
6.185305,7,77.069978
6.194982,7,77.247129
10.778764,12,77.546791
3.444444,4,77.632548
7.211613,8,77.845183
10.720934,12,78.183314
7.183835,8,78.39053
6.265912,7,78.614134
7.829753,9,78.837559
7.146285,8,79.05099
6.05184,7,79.201386
6.241405,7,79.352128
12.39183,14,79.759929
12.39183,14,80.156034
6.084777,7,80.350113
7.257396,8,80.555996
5.171645,6,80.6811
7.229618,8,80.856948
13.800671,15,81.252255
8.363561,10,81.538412
5.162238,6,81.68837
3.324783,4,81.801869
11.611377,15,82.179976
12.605273,15,82.569244
7.183835,8,82.776717
8.903804,10,83.026763
3.422222,4,83.139455
12.633051,15,83.543353
7.211613,8,83.737705
4.194626,5,83.862859
7.23939,8,84.071395
11.805556,12,84.390226
6.927609,8,84.621576
7.23939,8,84.825797
6.242299,7,85.032333
7.860493,9,85.24101
11.824826,13,85.602663
4.210213,5,85.7549
11.202264,12,86.104916
10.762385,12,86.435384
3.422222,4,86.551906
7.267168,8,86.759833
11.694444,12,87.064185
5.183835,6,87.208831
6.068036,7,87.384761
11.583658,12,87.702889
6.831044,8,87.920964
11.202264,12,88.254401
3.444444,4,88.364709
11.870886,13,88.741626
4.226841,5,88.884541
4.182115,5,89.01244
6.838728,8,89.254446
11.341153,12,89.598225
7.564002,9,89.828169
4.183835,5,89.986037
7.128279,8,90.221582
10.52649,12,90.537935
5.217793,6,90.667148
6.984285,8,90.861971
10.609823,12,91.194191
7.211613,8,91.408354
